AccidentYear,DevelopmentYear,PaidLoss,IncurredLoss,EarnedPremium,LOB
2013,2019,2892589,2935257,7625488,AUTOBI
2013,2020,2899565,2899565,7625488,AUTOBI
2013,2021,2899565,2899565,7625488,AUTOBI
2014,2014,80346,3282091,8079549,AUTOBI
2014,2015,370635,4061229,8079549,AUTOBI
2014,2016,2221677,4698986,8079549,AUTOBI
2014,2017,3870501,5472034,8079549,AUTOBI
2014,2018,5725498,6366241,8079549,AUTOBI
2014,2019,6406755,6452255,8079549,AUTOBI
2014,2020,6409185,6452255,8079549,AUTOBI
2014,2021,6419807,6454377,8079549,AUTOBI
2015,2015,127305,2125806,8207930,AUTOBI
2015,2016,631619,2628503,8207930,AUTOBI
2015,2017,2241706,3082828,8207930,AUTOBI
2015,2018,3440628,4297603,8207930,AUTOBI
2015,2019,4157263,4984464,8207930,AUTOBI
2015,2020,4447309,5247131,8207930,AUTOBI
2015,2021,4783228,5546799,8207930,AUTOBI
2016,2016,157399,1941497,8820368,AUTOBI
2016,2017,679227,2276650,8820368,AUTOBI
2016,2018,1530800,3225814,8820368,AUTOBI
2016,2019,2257608,3761529,8820368,AUTOBI
2016,2020,2923804,4036562,8820368,AUTOBI
2016,2021,3797661,4750078,8820368,AUTOBI
2017,2017,123535,1701483,9074774,AUTOBI
2017,2018,696025,2606067,9074774,AUTOBI
2017,2019,2386727,3421224,9074774,AUTOBI
2017,2020,3435160,4348369,9074774,AUTOBI
2017,2021,3879713,4912772,9074774,AUTOBI
2018,2018,257381,2156199,9344602,AUTOBI
2018,2019,942446,3113015,9344602,AUTOBI
2018,2020,1721919,4225360,9344602,AUTOBI
2018,2021,3799504,5171211,9344602,AUTOBI
2019,2019,262917,2199846,12289581,AUTOBI
2019,2020,905004,3961594,12289581,AUTOBI
2019,2021,2647033,5880115,12289581,AUTOBI
2020,2020,180692,2067377,12289581,AUTOBI
2020,2021,1194967,3838874,16391884,AUTOBI
2021,2021,187471,2054666,20973296,AUTOBI
2017,2017,875610,876000,5,PersProp
2017,2018,1934545,817000,5,PersProp
2017,2019,2677465,816000,5,PersProp
2017,2020,2689617,819214,5,PersProp
2017,2021,2688788.62,819167,5,PersProp
2018,2018,1450408,819167,5,PersProp
2018,2019,3306104,819167,5,PersProp
2018,2020,3479683,819167,5,PersProp
2018,2021,3474108.22,819167,5,PersProp
2019,2019,1339556,819167,5,PersProp
2019,2020,1873205,819167,5,PersProp
2019,2021,1962303.18,819167,5,PersProp
2020,2020,1823977,819167,5,PersProp
2020,2021,3472693.92,819167,5,PersProp
2021,2021,2291747.51,1311000,5,PersProp
